п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"132465";"М-н Суши-Стор";"МО., г. Долгопрудный, бульвар Космонавта Сереброва А.А, д. 1,";"САО+СЗАО";"Нева-Технологии";"Калиниченко А.С.";"КВ";"55.935254";"37.500657";"15.04.2025";"https://durnovcev2000.kaiten.ru/33681441"
"136701";"ООО ""АЗС НАФТА"" (АЗС НАФТА)";"56,299663 36,797880";"САО+СЗАО";"Технологии Безопасности";"Сафин М.С.";"КВ";"56.299663";"36.79788";"14.04.2025";"https://durnovcev2000.kaiten.ru/44940425"
"137461";"ИП Потыльчак Елена Андреевна Ясли сад Kinder Academy";"Москва г, ул Дыбенко, д. 14, к. 2";"САО+СЗАО";"Технологии Безопасности";"Сафин М.С.";"КВ";"55.870559";"37.4859368";"14.04.2025";"https://durnovcev2000.kaiten.ru/33685423"
"137554";"ООО «ВЕНДОР»., хранение одежды";"г.Москва,ул.Новопесчаная,д.6,к.2,пом.1Н,1П";"САО+СЗАО";"Эсток-Сервис";"Гаук Е.М.";"КВ";"55.8009518";"37.51617030000001";"11.04.2025";"https://durnovcev2000.kaiten.ru/34768581"
"138620";"ООО «ВЕНДОР»  (подвальное помещение)";"Москва, ул. Новопесчаная, д. 5";"САО+СЗАО";"Эсток-Сервис";"Гаук Е.М.";"КВ";"55.80151799999999";"37.5173085";"11.04.2025";"https://durnovcev2000.kaiten.ru/44125615"
"137146";"ООО Вкусно/пекарня «Буханка»";"Москва г, б-р Кронштадтский, д. 9, к. 3";"САО+СЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.842919";"37.489859";"11.04.2025";"https://durnovcev2000.kaiten.ru/43203138"
"18979";"Медицинский центр ""Асклепион""";"г.Москва, ул. Дубравная, д. 41/2";"САО+СЗАО";"Гранит";"Сергеев Н.Р.";"КВ";"55.841663";"37.35931";"09.04.2025";"https://durnovcev2000.kaiten.ru/33680831"
"90283";"ООО ""Сириус"", Ассортида";"Крылатские холмы, д.53";"САО+СЗАО";"Гранит";"Калиниченко А.С.";"КВ";"55.76406799999999";"37.410169";"09.04.2025";"https://durnovcev2000.kaiten.ru/33680096"
"131727";"ООО ""Аджента""/ аптека Планета Здоровья";"Москва г, Крылатская ул, дом № 33, корпус 3";"САО+СЗАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.759788";"37.4315913";"09.04.2025";"https://durnovcev2000.kaiten.ru/33680084"
"138672";"ООО ""Планета Здоровья Холдинг"" / Аптека Планета Здоровья";"Москва, ул. Генерала Белобородова, д.17";"САО+СЗАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.83593399999999";"37.357118";"09.04.2025";"https://durnovcev2000.kaiten.ru/44540894"
